Title,Author,Score,Ratings,Shelvings,Published
"The 13½ Lives of Captain Bluebear (Zamonia, #1)",Walter Moers,4.3,24196,34026,1999
"Healthy Sleep Habits, Happy Child",Marc Weissbluth,3.9,11298,15135,1987
"Unbecoming Citizens: Culture, Nationhood, and the Flight of Refugees from Bhutan",Michael James Hutt,3.67,18,102,1903
Dragonfruit,Makiia Lucier,4.06,1034,16701,2024
Those Who Save Us,Jenna Blum,4.11,100950,183288,2004
"Butcher & Blackbird (The Ruinous Love Trilogy, #1)",Brynne Weaver,4.16,150993,263714,2023
A Separate Peace,John Knowles,3.59,219028,370349,1959
Edgar Allan Poe: A Critical Biography,Arthur Hobson Quinn,4.24,118,779,1941
"The Journal, 1837-1861",Henry David Thoreau,4.33,408,2632,1960
"When Will There Be Good News? (Jackson Brodie, #3)",Kate Atkinson,4.0,47431,60990,2008
Al Que Quiere!,William Carlos Williams,3.98,109,167,1917
With Malice Toward None: A Life of Abraham Lincoln,Stephen B. Oates,4.27,8303,17122,1977
The Ragamuffin Gospel,Brennan Manning,4.19,38214,70640,1990
Insatiability: A Novel in Two Parts,Stanisław Ignacy Witkiewicz,3.92,498,2728,1930
Legends That Every Child Should Know; a Selection of the Great Legends of All Times for Young People,Hamilton Wright Mabie,3.41,95,129,1907
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,4.08,36017,145170,2020
Interesting Times: The Play,Stephen Briggs (Adaptor),4.22,25077,31475,1995
Tell No One,Harlan Coben,4.08,162400,260732,2001
Tintin in America (Tintin #3 ),Hergé,3.73,16889,20593,1932
Consider the Oyster,M.F.K. Fisher,4.19,1658,4367,1941
Molière: A Biography,Hobart Chatfield Chatfield-Taylor,3.7,193,3192,1906
Emotional Intelligence 2.0,Travis Bradberry,3.85,81227,277403,2003
In These Great Times: A Karl Kraus Reader,Karl Kraus,3.72,58,188,1914
East of the Sun and West of the Moon,Kay Nielsen (Illustrator),4.44,470,1606,1914
Job's Niece,Grace Livingston Hill,4.16,441,485,1927
Star Bringer,Tracy Wolff,3.65,4838,32629,2023
So Late in the Day,Claire Keegan,4.01,11463,21562,2023
The Witch of Blackbird Pond,Elizabeth George Speare,4.02,152303,254743,1958
"The Edge (The 6:20 Man, #2)",David Baldacci,4.4,27927,55612,2023
The Act of Creation,Arthur Koestler,4.25,497,4919,1964
After Annie,Anna Quindlen,4.13,9971,37734,2024
Bonecrack,Dick Francis,4.11,4686,4925,1971
"Moses, Man of the Mountain",Zora Neale Hurston,3.97,1571,5012,1939
Rashōmon and Seventeen Other Stories,Ryūnosuke Akutagawa,4.14,8914,27104,1927
Old New York,Edith Wharton,4.03,2171,4234,1924
Cabal,Clive Barker,3.92,21004,33357,1988
Episode Thirteen,Craig DiLouie,3.54,13868,57993,2023
"X-Men: God Loves, Man Kills (Marvel Graphic Novel, #5)",Chris Claremont,4.17,21514,26734,1982
Lair of the White Worm,Bram Stoker,2.78,4194,6625,1911
Murder of a Lady (Dr. Hailey #12),Anthony Wynne,3.41,1501,1910,1931
"The Dirk Gently Omnibus (Dirk Gently, #1-2)",Douglas Adams,4.19,8225,10913,1987
The Lady of Blossholme,H. Rider Haggard,3.73,203,262,1909
"On Cloud Nine (Perks & Benefits, #3)",Kels Stone,3.65,2902,14506,2023
Omensetter's Luck,William H. Gass,4.0,2170,11899,1966
History of Art,H.W. Janson,3.81,35569,100680,1962
Ten Great Mysteries,Edgar Allan Poe,4.05,1150,2485,1960
The Jordan Rules: The Inside Story of One Turbulent Season with Michael Jordan and the Chicago Bulls,Sam  Smith,4.25,18197,30827,1992
Discourses of Brigham Young: Second President of the Church of Jesus Christ of Latter-Day Saints,Brigham Young,4.38,762,1668,1941
Miriam: A Classic Story of Loneliness,Truman Capote,3.94,770,1511,1945
Homens em guerra,Andreas Latzko,4.24,149,135,1917
"The Hidden Staircase (Nancy Drew Mystery Stories, #2)",Carolyn Keene,3.96,41418,70415,1930
What If? Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.14,176853,530570,2014
The Hike,Lucy Clarke,3.73,20219,39413,2023
"Goldfinger (James Bond, #7)",Ian Fleming,3.83,24811,34480,1959
Here on Earth,Alice Hoffman,3.69,48506,71053,1997
A Confederate General from Big Sur / Dreaming of Babylon / The Hawkline Monster,Richard Brautigan,4.24,1964,2993,1964
The Life and Adventures of Santa Claus,L. Frank Baum,3.93,6340,9462,1902
My Friend Leonard,James Frey,3.87,45299,63181,2005
Do Not Go Gentle Into That Good Night,Dylan Thomas,4.44,1615,4211,1951
The Art of Selfishness,David Seabury,4.06,136,1000,1920
